,Pinf/P0=1.0000,Pinf/P0=0.9800,Pinf/P0=0.9700,Pinf/P0=0.9608,Pinf/P0=0.9500,Pinf/P0=0.9000,Pinf/P0=0.8000,Pinf/P0=0.7000,Pinf/P0=0.6000,Pinf/P0=0.5000,Pinf/P0=0.4350,Pinf/P0=0.4336,Pinf/P0=0.4000,Pinf/P0=0.3000,Pinf/P0=0.2000,Pinf/P0=0.1000,Pinf/P0=0.0400,Pinf/P0=0.0000
0.0,0.0,,,,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235,0.09700998235480235
0.05,0.0,,,,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855,0.11093255242059855
0.1,0.0,,,,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367,0.12783795063680367
0.15000000000000002,0.0,,,,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654,0.14855648760898654
0.2,0.0,,,,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768,0.17418832975030768
0.25,0.0,,,,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713,0.20619201434869713
0.30000000000000004,0.0,,,,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048,0.24649077506860048
0.35000000000000003,0.0,,,,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441,0.2975824842116441
0.4,0.0,,,,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984,0.36261151341474984
0.45,0.0,,,,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673,0.4453102047267673
