,Pinf/P0=1.0000,Pinf/P0=0.9800,Pinf/P0=0.9700,Pinf/P0=0.9608,Pinf/P0=0.9500,Pinf/P0=0.9000,Pinf/P0=0.8000,Pinf/P0=0.7000,Pinf/P0=0.6000,Pinf/P0=0.5000,Pinf/P0=0.4350,Pinf/P0=0.4336,Pinf/P0=0.4000,Pinf/P0=0.3000,Pinf/P0=0.2000,Pinf/P0=0.1000,Pinf/P0=0.0400,Pinf/P0=0.0000
0.0,1.0,,,,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637,0.9934401465570637
0.05,1.0,,,,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809,0.9914332668777809
0.1,1.0,,,,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607,0.9886438491804607
0.15000000000000002,1.0,,,,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398,0.9847038646380398
0.2,1.0,,,,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263,0.9790476958394263
0.25,1.0,,,,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198,0.9708000168142198
0.30000000000000004,1.0,,,,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203,0.9586070276725203
0.35000000000000003,1.0,,,,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911,0.940403549552911
0.4,1.0,,,,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815,0.9131532458150815
0.45,1.0,,,,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326,0.8727301550883326
